log_user_total_followers	topico	tupla_emocion_hilo	total_tweets	user_verificado	user_puntaje_sigmo	total_hashtags	total_retweets	hilo	_id	Random Forest	Tree	Neural Network	kNN	SVM	Fold
continuous	discrete	discrete	continuous	discrete	continuous	continuous	continuous	continuous	string	continuous	continuous	continuous	continuous	continuous	discrete
							class	meta	meta	meta	meta	meta	meta	meta	meta
3.2821687783046416	2	Joy+Anger	5.0	false	0.82973	0.0	45568.0	24.0	"ObjectId(""5d34a67a6b361d34247c1e47"")"	10511.5	4620.4	25.92663826661685	5976.397634030313	3485.7485890963917	7
3.66228551572213	10	Joy+Fear	5.0	false	0.84691	0.0	199.0	27.0	"ObjectId(""5d34a67a6b361d34247c1e48"")"	2490.5	4620.4	1.2014408791555404	5457.281219170873	3484.1266283677232	7
4.802807920361628	7	Disgust+Joy	10.0	true	1.20577	0.0	13635.0	127.0	"ObjectId(""5d34a67a6b361d34247c1e6a"")"	4546.3	12305.714285714286	24.548528455464606	26575.333283167947	3486.368783198802	7
3.6104472214421213	1	Joy+Fear	12.0	false	0.8902	0.0	956.0	170.0	"ObjectId(""5d34a67a6b361d34247c1e76"")"	2634.5	4620.4	1.8291142424780458	7400.023066937376	3484.1553103010037	7
3.8521138608497614	4	Joy+Fear	19.0	false	1.18423	0.0	2468.0	277.0	"ObjectId(""5d34a67a6b361d34247c1e90"")"	2896.8	4620.4	20.43847515825334	8601.422615062236	3485.407308743633	7
4.49464151028204	8	Anger+Sadness	23.0	false	0.81471	3.0	610.0	317.0	"ObjectId(""5d34a67a6b361d34247c1e9b"")"	3622.5	230.85714285714286	-0.7460142582677018	1104.5015158671072	3484.660933957047	7
3.9711366294768062	7	Joy+Fear	7.0	false	0.79609	0.0	2403.0	65.0	"ObjectId(""5d34a67a6b361d34247c1e55"")"	1988.3	4126.571428571428	9.702327700683618	742.1550810786418	3099.4060585714565	8
6.984076268030144	9	Fear+Surprise	10.0	true	1.54606	0.0	31638.0	135.0	"ObjectId(""5d34a67a6b361d34247c1e6c"")"	28807.6	34769.142857142855	85.76524025538049	13949.673029171297	3101.542874501299	8
3.417471693203293	2	Sadness+Disgust	15.0	false	0.87166	0.0	7555.0	230.0	"ObjectId(""5d34a67a6b361d34247c1e86"")"	9510.2	4126.571428571428	32.60524941814467	2376.1996987237335	3099.1320841229285	8
4.709829433186508	5	Joy+Fear	19.0	false	1.04661	0.0	4519.0	272.0	"ObjectId(""5d34a67a6b361d34247c1e8d"")"	3974.4	1606.5	23.985269137003556	6505.488668618629	3099.8994904104634	8
2.7481880270062002	4	Joy+Fear	25.0	false	0.87525	1.0	2.0	332.0	"ObjectId(""5d34a67a6b361d34247c1ea0"")"	7917.7	4126.571428571428	12.24837451908773	1310.4439263914148	3098.5575300768846	8
4.660448051321295	4	Joy+Fear	6.0	true	0.96577	0.0	144.0	42.0	"ObjectId(""5d34a67a6b361d34247c1e4f"")"	7319.6	6209.222222222223	41.67544417613266	1904.6769032846469	3794.4910698522162	9
3.4653828514484184	4	Fear+Joy	9.0	false	0.74127	2.0	296.0	102.0	"ObjectId(""5d34a67a6b361d34247c1e62"")"	166.7	2781.0	5.324969508182664	11422.62682582501	3791.9276652438793	9
4.366049209800235	0	Joy+Fear	9.0	false	1.25513	1.0	146.0	121.0	"ObjectId(""5d34a67a6b361d34247c1e66"")"	353.9	6444.454545454545	23.08444152327992	10793.674779214933	3793.0176925416486	9
4.76666561621731	9	Fear+Sadness	10.0	false	1.36473	3.0	125.0	130.0	"ObjectId(""5d34a67a6b361d34247c1e6b"")"	61305.4	6444.454545454545	33.89770111006152	5159.584236455475	3794.244182068361	9
4.586339708754249	4	Fear+Sadness	41.0	false	1.17787	0.0	53838.0	390.0	"ObjectId(""5d34a67a6b361d34247c1eb6"")"	11044.1	6209.222222222223	22.982159745311396	3582.6707574314682	3793.3185583606933	9
4.356981400993131	3	Joy+Fear	8.0	true	0.91411	1.0	21340.0	86.0	"ObjectId(""5d34a67a6b361d34247c1e5c"")"	2733.6	6437.5	41.53461388752795	3568.7615229487424	2437.581101037671	10
4.9276013093257225	4	Joy+Surprise	12.0	false	1.20034	0.0	14001.0	168.0	"ObjectId(""5d34a67a6b361d34247c1e75"")"	6271.0	13892.0	12.202520413470339	8257.346224563236	2436.1935888081716	10
4.8656605575536735	4	Fear+Anger	17.0	true	0.96141	0.0	4804.0	263.0	"ObjectId(""5d34a67a6b361d34247c1e8b"")"	4002.0	2636.375	41.83276742765085	3575.3593903731967	2436.9740854830775	10
3.868115205327217	4	Joy+Fear	19.0	false	0.81472	1.0	11224.0	280.0	"ObjectId(""5d34a67a6b361d34247c1e91"")"	626.5	2636.375	9.27710321014922	3195.508229144135	2434.964955635067	10
5.122514046067324	4	Joy+Fear	26.0	false	1.06386	0.0	3486.0	351.0	"ObjectId(""5d34a67a6b361d34247c1eaa"")"	3418.5	2636.375	29.810326878187663	5475.003181518257	2436.2044083273954	10
