log_user_total_followers	topico	tupla_emocion_hilo	total_tweets	user_verificado	user_puntaje_sigmo	total_hashtags	log_prt	hilo	_id	Random Forest	Tree	Neural Network	kNN	SVM	Fold
continuous	discrete	discrete	continuous	discrete	continuous	continuous	continuous	continuous	string	continuous	continuous	continuous	continuous	continuous	discrete
							class	meta	meta	meta	meta	meta	meta	meta	meta
5.09702117816689	5	Joy+Fear	28.0	false	1.27649	0.0	2.8686444383948255	360.0	"ObjectId(""5d34a67a6b361d34247c1ead"")"	2.2913216736169644	3.360573548038641	2.533542351342174	2.049823969008901	2.307937068802656	4
3.5312233745330266	4	Fear+Joy	6.0	false	0.78883	1.0	1.4313637641589874	54.0	"ObjectId(""5d34a67a6b361d34247c1e52"")"	2.11918218288282	2.480353987559104	1.8414331513819613	3.2146855231610925	1.797632237539791	5
5.433079853623477	4	Joy+Anger	8.0	true	1.48879	1.0	3.5678494505731067	89.0	"ObjectId(""5d34a67a6b361d34247c1e5d"")"	2.6875584377652304	2.7522809904559424	3.173850082637932	2.381289834537197	2.823229534664567	5
4.645756213603842	13	Fear+Disgust	8.0	false	1.86475	0.0	2.1818435879447726	92.0	"ObjectId(""5d34a67a6b361d34247c1e5e"")"	2.2484923945555644	2.7522809904559424	1.6173363445999303	2.2776557939967477	2.022941621996524	5
4.89003518054297	2	Anger+Joy	11.0	true	1.16824	0.0	3.6344772701607315	141.0	"ObjectId(""5d34a67a6b361d34247c1e6d"")"	3.1515081576478976	3.1081874869707113	3.2071508441392904	3.0668167033839335	2.955380151440524	5
3.9623219727295846	1	Fear+Joy	14.0	false	0.81963	0.0	1.5185139398778875	217.0	"ObjectId(""5d34a67a6b361d34247c1e82"")"	2.051889586272771	2.480353987559104	1.2983299091209155	2.320324748933112	1.8535617892294516	5
4.709829433186508	5	Fear+Disgust	29.0	false	1.04661	0.0	1.9912260756924949	365.0	"ObjectId(""5d34a67a6b361d34247c1eae"")"	2.404475030908757	2.319832349385663	2.122445542755319	2.3485634338867283	2.3973333650037887	5
5.28793826497814	5	Joy+Surprise	7.0	false	1.31103	0.0	2.385606273598312	72.0	"ObjectId(""5d34a67a6b361d34247c1e57"")"	2.963910695916121	2.9493215199517415	2.9962646548970575	2.6654968392862184	3.0065533966600664	6
4.49578015230518	11	Joy+Sadness	11.0	false	0.94618	0.0	2.9907826918031377	154.0	"ObjectId(""5d34a67a6b361d34247c1e71"")"	2.6221255153226783	1.8107728053096142	1.2177272832257493	2.9085953098656465	2.128933440639264	6
4.90759407001401	7	Joy+Surprise	14.0	true	0.93907	1.0	2.670245853074124	214.0	"ObjectId(""5d34a67a6b361d34247c1e81"")"	3.004387316658682	2.366632628648751	2.167201099506135	3.225288989643258	2.851484535626045	6
5.526555078463001	9	Joy+Fear	25.0	true	1.16086	0.0	3.7352794480604565	342.0	"ObjectId(""5d34a67a6b361d34247c1ea5"")"	2.925387863752497	3.2367685466578364	2.6474009503552285	2.266165471010769	2.7796900962502487	6
