log_user_total_followers	topico	tupla_emocion_hilo	total_tweets	user_verificado	user_puntaje_sigmo	total_hashtags	log_total_retweets	hilo	_id	Random Forest	Tree	Neural Network	kNN	SVM	Fold
continuous	discrete	discrete	continuous	discrete	continuous	continuous	continuous	continuous	string	continuous	continuous	continuous	continuous	continuous	discrete
							class	meta	meta	meta	meta	meta	meta	meta	meta
3.5312233745330266	4	Fear+Joy	6.0	false	0.78883	1.0	2.1931245983544616	54.0	"ObjectId(""5d34a67a6b361d34247c1e52"")"	3.13729733782974	2.0943884506039057	2.814200387721513	3.9534336287538236	2.7259060950406866	5
5.433079853623477	4	Joy+Anger	8.0	true	1.48879	1.0	4.470895383280216	89.0	"ObjectId(""5d34a67a6b361d34247c1e5d"")"	4.026199781783907	3.619496119947227	3.7074822499493205	3.3321054312052594	3.8976185440445095	5
4.645756213603842	13	Fear+Disgust	8.0	false	1.86475	0.0	3.0831441431430524	92.0	"ObjectId(""5d34a67a6b361d34247c1e5e"")"	3.3354842524281585	3.7216933839890993	2.814228009699925	3.1502304484362202	3.2748021807479444	5
4.89003518054297	2	Anger+Joy	11.0	true	1.16824	0.0	4.675741690804246	141.0	"ObjectId(""5d34a67a6b361d34247c1e6d"")"	4.233540076731873	4.424345010941614	3.6910019240404197	4.085961663038723	3.815437261925465	5
3.9623219727295846	1	Fear+Joy	14.0	false	0.81963	0.0	2.6473829701146196	217.0	"ObjectId(""5d34a67a6b361d34247c1e82"")"	3.195726348607197	3.532073771994417	2.3435688200267744	3.445901601466346	2.8771962601137373	5
4.709829433186508	5	Fear+Disgust	29.0	false	1.04661	0.0	3.4500950758716025	365.0	"ObjectId(""5d34a67a6b361d34247c1eae"")"	3.675591192330073	3.7216933839890993	3.18807142500686	3.785623746588793	3.623284189259411	5
5.28793826497814	5	Joy+Surprise	7.0	false	1.31103	0.0	3.228913405994688	72.0	"ObjectId(""5d34a67a6b361d34247c1e57"")"	4.263970910103997	3.8264931161614815	3.930748833447609	3.499777159624904	3.9817224805383393	6
4.49578015230518	11	Joy+Sadness	11.0	false	0.94618	0.0	4.0317315399458264	154.0	"ObjectId(""5d34a67a6b361d34247c1e71"")"	3.1499177659592763	2.795963478419093	2.010902342074396	3.98710760266865	3.2272843686687263	6
4.90759407001401	7	Joy+Surprise	14.0	true	0.93907	1.0	3.8151791301394185	214.0	"ObjectId(""5d34a67a6b361d34247c1e81"")"	3.950203591316105	3.6653525476592934	2.861368565386041	4.3719831375153	3.768866776123573	6
5.526555078463001	9	Joy+Fear	25.0	true	1.16086	0.0	5.1331811067406905	342.0	"ObjectId(""5d34a67a6b361d34247c1ea5"")"	4.079643687045757	4.358996522950693	3.4979325240942556	3.6541144478284937	3.938845921015358	6
4.077985291029502	8	Joy+Surprise	25.0	false	0.96127	0.0	2.591064607026499	343.0	"ObjectId(""5d34a67a6b361d34247c1ea6"")"	3.113441734532484	3.66515570243996	1.5545688700268538	3.646596065436876	3.469921232173251	6
