_id,hilo,posicion_hilo,id,emocion,puntaje_sigmoideo,total_rt,total_fav,total_hashtags,aporte_rt,aporte_fav,progreso_hilo
ObjectId("5d3257e36b361d2ed051d062"),333,24,1131960552555712512,Fear,1.3,103,351,0,0.02,0.026,100
ObjectId("5d3257e36b361d2ed051d063"),333,23,1131960550685118465,Joy,1.3,107,313,0,0.02,0.023,96
ObjectId("5d3257e36b361d2ed051d064"),333,22,1131917006591209473,Sadness,1.3,253,625,0,0.048,0.047,92
ObjectId("5d3257e36b361d2ed051d065"),333,21,1131917005433577472,Joy,1.3,250,742,0,0.048,0.055,88
ObjectId("5d3257e36b361d2ed051d066"),333,20,1131917004384940032,Joy,1.3,210,626,0,0.04,0.047,84
ObjectId("5d3257e36b361d2ed051d067"),333,19,1131917003231498240,Joy,1.3,282,704,0,0.054,0.052,79
ObjectId("5d3257e36b361d2ed051d068"),333,18,1131917002107424770,Joy,1.3,290,688,0,0.055,0.051,75
ObjectId("5d3257e36b361d2ed051d069"),333,17,1131917001012776961,Joy,1.3,225,620,0,0.043,0.046,71
ObjectId("5d3257e36b361d2ed051d06a"),333,16,1131916999750311936,Joy,1.3,155,464,0,0.03,0.035,67
ObjectId("5d3257e36b361d2ed051d06b"),333,15,1131916998634496000,Surprise,1.3,141,461,0,0.027,0.034,63
ObjectId("5d3257e36b361d2ed051d06c"),333,14,1131916997355294720,Joy,1.3,195,491,0,0.037,0.037,59
ObjectId("5d3257e36b361d2ed051d06d"),333,13,1131916996256436224,Anger,1.3,115,392,0,0.022,0.029,55
ObjectId("5d3257e36b361d2ed051d06e"),333,12,1131916995040022529,Joy,1.3,122,412,0,0.023,0.031,50
ObjectId("5d3257e36b361d2ed051d06f"),333,11,1131916994033459200,Surprise,1.3,120,411,0,0.023,0.031,46
ObjectId("5d3257e36b361d2ed051d070"),333,10,1131916992884170753,Fear,1.3,126,420,0,0.024,0.031,42
ObjectId("5d3257e36b361d2ed051d071"),333,9,1131916991567224832,Surprise,1.3,173,469,0,0.033,0.035,38
ObjectId("5d3257e36b361d2ed051d072"),333,8,1131916990409596929,Joy,1.3,125,444,0,0.024,0.033,34
ObjectId("5d3257e36b361d2ed051d073"),333,7,1131916989310619648,Surprise,1.3,142,464,0,0.027,0.035,30
ObjectId("5d3257e36b361d2ed051d074"),333,6,1131916987305725954,Joy,1.3,148,444,0,0.028,0.033,26
ObjectId("5d3257e36b361d2ed051d075"),333,5,1131916982834663426,Joy,1.3,155,446,0,0.03,0.033,22
ObjectId("5d3257e36b361d2ed051d076"),333,4,1131916975444246528,Surprise,1.3,177,490,0,0.034,0.036,18
ObjectId("5d3257e36b361d2ed051d077"),333,3,1131916968280383488,Joy,1.3,155,462,0,0.03,0.034,13
ObjectId("5d3257e36b361d2ed051d078"),333,2,1131916966573301762,Joy,1.3,178,506,0,0.034,0.038,9
ObjectId("5d3257e36b361d2ed051d079"),333,1,1131916962852999168,Fear,1.3,160,488,0,0.031,0.036,5
ObjectId("5d3257e36b361d2ed051d07a"),333,0,1131916961611489282,Surprise,1.3,1121,1492,0,0.214,0.111,1
ObjectId("5d3257e36b361d2ed051d07b"),56,6,1141179825173999617,Joy,1.1,104,191,1,0.057,0.064,100
ObjectId("5d3257e36b361d2ed051d07c"),56,5,1141178465930137600,Fear,1.1,187,303,0,0.102,0.101,84
ObjectId("5d3257e36b361d2ed051d07d"),56,4,1141178464944435200,Joy,1.1,167,253,0,0.091,0.085,67
ObjectId("5d3257e36b361d2ed051d07e"),56,3,1141178464009162752,Fear,1.1,226,406,0,0.123,0.136,50
ObjectId("5d3257e36b361d2ed051d07f"),56,2,1141178463027699713,Fear,1.1,377,739,0,0.206,0.247,34
ObjectId("5d3257e36b361d2ed051d080"),56,1,1141178461991710720,Joy,1.1,124,192,0,0.068,0.064,18
ObjectId("5d3257e36b361d2ed051d081"),56,0,1141178460733415430,Fear,1.1,644,904,0,0.352,0.302,1
ObjectId("5d3257e36b361d2ed051d082"),374,31,1078812599549079552,Joy,0.9,13,23,0,0.04,0.041,100
ObjectId("5d3257e36b361d2ed051d083"),374,30,1078812565432664067,Disgust,0.9,6,18,0,0.018,0.032,97
ObjectId("5d3257e36b361d2ed051d084"),374,29,1078812500597096449,Joy,0.9,7,14,0,0.021,0.025,94
ObjectId("5d3257e36b361d2ed051d085"),374,28,1078812382904893440,Joy,0.9,7,12,0,0.021,0.021,90
ObjectId("5d3257e36b361d2ed051d086"),374,27,1078812344724176896,Joy,0.9,6,16,0,0.018,0.029,87
ObjectId("5d3257e36b361d2ed051d087"),374,26,1078812294623256577,Surprise,0.9,9,15,0,0.028,0.027,84
ObjectId("5d3257e36b361d2ed051d088"),374,25,1078812232551723010,Joy,0.9,10,15,0,0.031,0.027,81
ObjectId("5d3257e36b361d2ed051d089"),374,24,1078812102847094784,Fear,0.9,5,12,0,0.015,0.021,78
ObjectId("5d3257e36b361d2ed051d08a"),374,23,1078812069489721344,Fear,0.9,5,14,0,0.015,0.025,74
ObjectId("5d3257e36b361d2ed051d08b"),374,22,1078812004629037058,Disgust,0.9,5,9,0,0.015,0.016,71
ObjectId("5d3257e36b361d2ed051d08c"),374,21,1078811880930664448,Fear,0.9,6,11,0,0.018,0.02,68
ObjectId("5d3257e36b361d2ed051d08d"),374,20,1078811814983622657,Joy,0.9,6,12,0,0.018,0.021,65
ObjectId("5d3257e36b361d2ed051d08e"),374,19,1078811537895288833,Surprise,0.9,6,14,0,0.018,0.025,62
ObjectId("5d3257e36b361d2ed051d08f"),374,18,1078811496371638272,Joy,0.9,6,13,0,0.018,0.023,58
ObjectId("5d3257e36b361d2ed051d090"),374,17,1078811302695501824,Fear,0.9,5,12,0,0.015,0.021,55
ObjectId("5d3257e36b361d2ed051d091"),374,16,1078811244067471361,Joy,0.9,7,14,0,0.021,0.025,52
ObjectId("5d3257e36b361d2ed051d092"),374,15,1078811178393104384,Joy,0.9,5,10,0,0.015,0.018,49
ObjectId("5d3257e36b361d2ed051d093"),374,14,1078811054069727232,Fear,0.9,6,12,0,0.018,0.021,46
ObjectId("5d3257e36b361d2ed051d094"),374,13,1078811006548234240,Anger,0.9,8,15,0,0.024,0.027,43
ObjectId("5d3257e36b361d2ed051d095"),374,12,1078810888394690561,Joy,0.9,6,12,0,0.018,0.021,39
ObjectId("5d3257e36b361d2ed051d096"),374,11,1078810751345848321,Joy,0.9,6,11,0,0.018,0.02,36
ObjectId("5d3257e36b361d2ed051d097"),374,10,1078810711969722369,Surprise,0.9,8,11,0,0.024,0.02,33
ObjectId("5d3257e36b361d2ed051d098"),374,9,1078810662619496449,Fear,0.9,6,8,0,0.018,0.014,30
ObjectId("5d3257e36b361d2ed051d099"),374,8,1078810508357189632,Fear,0.9,8,13,0,0.024,0.023,27
