_id,hilo,topico,total_tweets,total_retweets,total_favoritos,total_hashtags,emocion_hilo_1,tupla_emocion_hilo,user_total_followers,user_puntaje_sigmo,user_verificado
ObjectId("5d3257e36b361d2ed051cf5d"),383,8,36,375,5315,3,Fear,Fear+Disgust,2045,0.8,false
ObjectId("5d3257e36b361d2ed051cf5e"),370,4,30,4910,10151,0,Surprise,Surprise+Fear,116778,1.2,false
ObjectId("5d3257e36b361d2ed051cf5f"),187,4,13,38,305,1,Joy,Joy+Fear,1894,0.7,false
ObjectId("5d3257e36b361d2ed051cf60"),328,0,24,330,1796,0,Joy,Joy+Fear,29176,1,false
ObjectId("5d3257e36b361d2ed051cf61"),234,4,15,157,248,0,Fear,Fear+Joy,756,0.8,false
ObjectId("5d3257e36b361d2ed051cf62"),269,4,18,800,1950,17,Fear,Fear+Joy,3725,0.8,false
ObjectId("5d3257e36b361d2ed051cf63"),114,4,9,91,374,0,Joy,Joy+Fear,765,0.7,false
ObjectId("5d3257e36b361d2ed051cf64"),93,4,8,24369,70963,0,Anger,Anger+Surprise,677357,2.3,true
ObjectId("5d3257e36b361d2ed051cf65"),16,12,4,865,1488,1,Sadness,Sadness+Joy,34625,1,false
ObjectId("5d3257e36b361d2ed051cf66"),26,9,5,218,366,3,Fear,Fear+Joy,6863,0.9,false
ObjectId("5d3257e36b361d2ed051cf67"),1,3,3,17739,39908,2,Joy,Joy+Fear,393734,1.2,false
ObjectId("5d3257e36b361d2ed051cf68"),240,9,16,21641,62060,0,Fear,Fear+Joy,357107,1.4,true
ObjectId("5d3257e36b361d2ed051cf69"),94,9,8,8106,21152,0,Surprise,Surprise+Joy,271068,1.5,true
ObjectId("5d3257e36b361d2ed051cf6a"),78,9,8,1636,7051,0,Fear,Fear+Surprise,21952,1,true
ObjectId("5d3257e36b361d2ed051cf6b"),139,11,10,5934,12582,1,Joy,Joy+Fear,182030,1.3,true
ObjectId("5d3257e36b361d2ed051cf6c"),158,4,11,28688,164016,0,Joy,Joy+Fear,19492,0.9,true
ObjectId("5d3257e36b361d2ed051cf6d"),172,4,12,8923,29586,0,Joy,Joy+Anger,357107,1.4,true
ObjectId("5d3257e36b361d2ed051cf6e"),215,0,14,472,1313,3,Sadness,Sadness+Fear,11049,0.8,false
ObjectId("5d3257e36b361d2ed051cf6f"),211,2,14,33,133,0,Joy,Joy+Fear,2671,0.8,false
ObjectId("5d3257e36b361d2ed051cf70"),355,8,27,563,4782,0,Joy,Joy+Anger,9225,1,false
ObjectId("5d3257e36b361d2ed051cf71"),3,4,3,166,557,0,Sadness,Sadness+Surprise,73354,1,true
ObjectId("5d3257e36b361d2ed051cf72"),204,0,14,3568,11010,0,Fear,Fear+Joy,52686,1.1,true
ObjectId("5d3257e36b361d2ed051cf73"),52,8,6,95,234,1,Joy,Joy+Fear,334,0.7,false
ObjectId("5d3257e36b361d2ed051cf74"),106,2,9,1450,5180,0,Joy,Joy+Fear,130289,1.2,true
ObjectId("5d3257e36b361d2ed051cf75"),381,7,34,10252,32246,2,Joy,Joy+Anger,6549,0.8,false
ObjectId("5d3257e36b361d2ed051cf76"),334,13,25,1859,7644,0,Joy,Joy+Fear,54498,1.4,false
ObjectId("5d3257e36b361d2ed051cf77"),118,4,9,4,18,0,Joy,Joy+Fear,189,0.7,false
ObjectId("5d3257e36b361d2ed051cf78"),161,8,11,1606,8369,0,Anger,Anger+Surprise,7820,1,false
ObjectId("5d3257e36b361d2ed051cf79"),261,10,17,1242,1329,0,Joy,Joy+Fear,27942,0.8,false
ObjectId("5d3257e36b361d2ed051cf7a"),185,4,13,187,663,0,Joy,Joy+Fear,2353,0.9,false
ObjectId("5d3257e36b361d2ed051cf7b"),178,4,12,150,1575,0,Anger,Anger+Surprise,5059,1,false
ObjectId("5d3257e36b361d2ed051cf7c"),266,9,18,5942,26766,0,Surprise,Surprise+Anger,9639982,1.5,true
ObjectId("5d3257e36b361d2ed051cf7d"),180,7,12,2383,8508,0,Joy,Joy+Disgust,162096,1.2,false
ObjectId("5d3257e36b361d2ed051cf7e"),132,4,10,333,2721,0,Fear,Fear+Joy,2840,0.9,false
ObjectId("5d3257e36b361d2ed051cf7f"),12,4,4,9289,43693,0,Fear,Fear+Joy,4761,0.9,false
ObjectId("5d3257e36b361d2ed051cf80"),64,4,7,584,1306,0,Joy,Joy+Fear,58433,1.4,false
ObjectId("5d3257e36b361d2ed051cf81"),372,8,31,1034,2345,3,Joy,Joy+Fear,20151,0.9,true
ObjectId("5d3257e36b361d2ed051cf82"),18,12,4,1038,1269,0,Joy,Joy+Fear,126821,0.9,false
ObjectId("5d3257e36b361d2ed051cf83"),308,13,22,862,1180,2,Fear,Fear+Joy,35489,1.3,false
ObjectId("5d3257e36b361d2ed051cf84"),103,2,9,90040,108406,0,Joy,Joy+Sadness,9091,0.9,false
ObjectId("5d3257e36b361d2ed051cf85"),222,13,15,351,400,1,Joy,Joy+Surprise,35489,1.3,false
ObjectId("5d3257e36b361d2ed051cf86"),150,1,11,12292,63000,0,Joy,Joy+Sadness,175315,1.2,false
ObjectId("5d3257e36b361d2ed051cf87"),67,7,7,13617,13388,0,Joy,Joy+Fear,355178,1.4,true
ObjectId("5d3257e36b361d2ed051cf88"),30,12,5,97,169,0,Fear,Fear+Joy,55602,1,false
ObjectId("5d3257e36b361d2ed051cf89"),58,4,7,25340,64436,0,Joy,Joy+Fear,63504,1.2,true
ObjectId("5d3257e36b361d2ed051cf8a"),57,0,7,154,1404,1,Joy,Joy+Fear,23229,1.3,false
ObjectId("5d3257e36b361d2ed051cf8b"),257,4,17,314,1844,0,Sadness,Sadness+Joy,65240,1.1,true
ObjectId("5d3257e36b361d2ed051cf8c"),380,10,34,22854,114398,1,Anger,Anger+Joy,24991,1,true
ObjectId("5d3257e36b361d2ed051cf8d"),229,6,15,1,9,0,Sadness,Sadness+Joy,1503,0.8,false
ObjectId("5d3257e36b361d2ed051cf8e"),256,13,17,210,486,5,Joy,Joy+Fear,35489,1.3,false
ObjectId("5d3257e36b361d2ed051cf8f"),53,8,6,324,1116,0,Surprise,Surprise+Joy,5754,0.9,false
ObjectId("5d3257e36b361d2ed051cf90"),119,2,9,152,445,0,Joy,Joy+Fear,11609,0.9,true
ObjectId("5d3257e36b361d2ed051cf91"),165,0,12,292,1157,0,Joy,Joy+Fear,5879,0.9,false
ObjectId("5d3257e36b361d2ed051cf92"),149,13,11,275,407,0,Joy,Joy+Fear,5884,0.8,false
ObjectId("5d3257e36b361d2ed051cf93"),129,0,10,140,1050,0,Joy,Joy+Fear,23229,1.3,false
ObjectId("5d3257e36b361d2ed051cf94"),138,7,10,205,355,0,Fear,Fear+Joy,6777,0.8,false
ObjectId("5d3257e36b361d2ed051cf95"),359,11,28,8914,14046,4,Fear,Fear+Joy,62106,1,true
ObjectId("5d3257e36b361d2ed051cf96"),339,0,25,70,134,0,Fear,Fear+Joy,26235,0.9,false
ObjectId("5d3257e36b361d2ed051cf97"),364,4,29,3227,4877,3,Joy,Joy+Fear,21667,0.9,false
ObjectId("5d3257e36b361d2ed051cf98"),7,6,4,13544,39484,2,Joy,Joy+Fear,5839979,1.8,true
ObjectId("5d3257e36b361d2ed051cf99"),291,13,20,2939,15930,0,Joy,Joy+Fear,347212,1.2,true
ObjectId("5d3257e36b361d2ed051cf9a"),378,8,33,105,282,0,Fear,Fear+Sadness,6752,1,false
ObjectId("5d3257e36b361d2ed051cf9b"),9,13,4,226,231,0,Surprise,Surprise+Fear,126821,0.9,false
ObjectId("5d3257e36b361d2ed051cf9c"),344,4,26,10120,18802,0,Fear,Fear+Sadness,87197,1,false
ObjectId("5d3257e36b361d2ed051cf9d"),128,2,10,3793,9614,2,Joy,Joy+Surprise,15207,0.8,false
ObjectId("5d3257e36b361d2ed051cf9e"),60,2,7,14455,66191,6,Joy,Joy+Fear,182601,1,true
ObjectId("5d3257e36b361d2ed051cf9f"),205,9,14,823,2173,0,Joy,Joy+Surprise,1397,0.8,false
ObjectId("5d3257e36b361d2ed051cfa0"),250,12,16,7639,9685,0,Joy,Joy+Anger,13471,0.9,false
ObjectId("5d3257e36b361d2ed051cfa1"),124,2,10,2741,3671,0,Joy,Joy+Fear,5061,0.9,false
ObjectId("5d3257e36b361d2ed051cfa2"),281,2,19,6629,11632,1,Joy,Joy+Fear,155903,1.2,true
ObjectId("5d3257e36b361d2ed051cfa3"),71,12,7,1082,2337,0,Fear,Fear+Joy,1013079,3,true
ObjectId("5d3257e36b361d2ed051cfa4"),349,2,26,234628,1710703,0,Surprise,Surprise+Fear,43815,1.2,false
ObjectId("5d3257e36b361d2ed051cfa5"),377,9,33,5383,19725,0,Joy,Joy+Surprise,72425,1.1,false
ObjectId("5d3257e36b361d2ed051cfa6"),382,0,36,1661,6868,0,Joy,Joy+Fear,29176,1,false
ObjectId("5d3257e36b361d2ed051cfa7"),46,4,6,108,179,0,Joy,Joy+Fear,67219,1.1,true
ObjectId("5d3257e36b361d2ed051cfa8"),82,0,8,626,2748,0,Fear,Fear+Surprise,3019,0.7,false
ObjectId("5d3257e36b361d2ed051cfa9"),151,4,11,795,1793,0,Sadness,Sadness+Anger,51265,1,false
ObjectId("5d3257e36b361d2ed051cfaa"),329,8,24,49534,81852,0,Joy,Joy+Fear,86289,1.1,true
ObjectId("5d3257e36b361d2ed051cfab"),115,0,9,175,1491,1,Fear,Fear+Joy,23229,1.3,false
ObjectId("5d3257e36b361d2ed051cfac"),104,2,9,562,356,8,Joy,Joy+Sadness,8452,0.8,false
ObjectId("5d3257e36b361d2ed051cfad"),320,5,23,8747,17673,0,Fear,Fear+Joy,125031,1.3,false
ObjectId("5d3257e36b361d2ed051cfae"),363,10,29,61295,177043,4,Fear,Fear+Joy,31038,0.9,false
ObjectId("5d3257e36b361d2ed051cfaf"),251,4,17,21226,30933,5,Joy,Joy+Surprise,110363,1.1,true
ObjectId("5d3257e36b361d2ed051cfb0"),284,0,20,3197,9489,0,Fear,Fear+Joy,132590,1.1,false
ObjectId("5d3257e36b361d2ed051cfb1"),268,4,18,54,200,0,Joy,Joy+Surprise,2193,0.8,false
ObjectId("5d3257e36b361d2ed051cfb2"),335,10,25,6671,29149,0,Joy,Joy+Fear,8543,0.9,false
ObjectId("5d3257e36b361d2ed051cfb3"),189,10,13,15099,39375,0,Fear,Fear+Anger,269441,1.6,true
ObjectId("5d3257e36b361d2ed051cfb4"),117,2,9,639,1390,3,Joy,Joy+Anger,6958,0.8,false
ObjectId("5d3257e36b361d2ed051cfb5"),0,11,3,31955,95985,0,Anger,Anger+Surprise,61746,1.2,true
ObjectId("5d3257e36b361d2ed051cfb6"),314,5,23,4944,7999,0,Anger,Anger+Fear,51265,1,false
ObjectId("5d3257e36b361d2ed051cfb7"),297,4,21,765,3725,0,Fear,Fear+Anger,50728,1.2,true
ObjectId("5d3257e36b361d2ed051cfb8"),160,4,11,21669,46842,0,Disgust,Disgust+Joy,15966,1.1,false
ObjectId("5d3257e36b361d2ed051cfb9"),90,10,8,4354,6011,1,Fear,Fear+Joy,825758,1.9,true
ObjectId("5d3257e36b361d2ed051cfba"),144,4,11,830,4595,0,Joy,Joy+Surprise,75932,1.2,true
ObjectId("5d3257e36b361d2ed051cfbb"),290,5,20,1515,3395,0,Joy,Joy+Fear,51265,1,false
ObjectId("5d3257e36b361d2ed051cfbc"),316,7,23,3648,5356,0,Joy,Joy+Fear,178386,1.3,true
ObjectId("5d3257e36b361d2ed051cfbd"),15,9,4,135,194,0,Fear,Fear+Surprise,126821,0.9,false
ObjectId("5d3257e36b361d2ed051cfbe"),109,12,9,743,1269,0,Joy,Joy+Fear,682,0.8,false
ObjectId("5d3257e36b361d2ed051cfbf"),213,7,14,900,3432,0,Fear,Fear+Joy,21952,1,true
ObjectId("5d3257e36b361d2ed051cfc0"),47,9,6,244,316,0,Joy,Joy+Fear,51265,1,false
ObjectId("5d3257e36b361d2ed051cfc1"),163,3,11,222,487,1,Fear,Fear+Anger,14503,1,false
