_id,hilo,topico,total_tweets,total_retweets,total_favoritos,promedio_rt,promedio_fv,total_hashtags,emocion_hilo_1,tupla_emocion_hilo,user_total_followers,user_puntaje_sigmo,user_verificado,log_prt,log_pfv,log_total_retweets,log_total_favoritos,rnd_user_puntaje_sigmo,log_user_total_followers
ObjectId("5d34a67a6b361d34247c1e51"),49,10,6,154,544,26,91,0,Fear,Fear+Joy,5885,0.91459,true,1.4313637641589874,1.9637878273455553,2.1903316981702914,2.7363965022766426,0.9,3.769820257763592
ObjectId("5d34a67a6b361d34247c1e52"),54,4,6,155,87,26,14,1,Fear,Fear+Joy,3397,0.78883,false,1.4313637641589874,1.1760912590556813,2.1931245983544616,1.9444826721501687,0.8,3.5312233745330266
ObjectId("5d34a67a6b361d34247c1e53"),59,4,7,619,4188,88,598,0,Joy,Joy+Fear,78895,1.1925,true,1.9493900066449128,2.7774268223893115,2.792391689498254,3.6221103603612197,1.2,4.897054985187062
ObjectId("5d34a67a6b361d34247c1e54"),63,2,7,88,276,13,39,5,Fear,Fear+Anger,697,0.75171,false,1.146128035678238,1.6020599913279623,1.9493900066449128,2.4424797690644486,0.8,2.843855422623161
ObjectId("5d34a67a6b361d34247c1e55"),65,7,7,2403,5278,343,754,0,Joy,Joy+Fear,9356,0.79609,false,2.53655844257153,2.8779469516291885,3.380934463330702,3.7225516620009587,0.8,3.9711366294768062
ObjectId("5d34a67a6b361d34247c1e56"),66,4,7,1128,2132,161,305,1,Joy,Joy+Fear,41560,0.86444,false,2.2095150145426308,2.48572142648158,3.052693941924968,3.3289908554494287,0.9,4.618685988578525
ObjectId("5d34a67a6b361d34247c1e57"),72,5,7,1693,5282,242,755,0,Joy,Joy+Surprise,194060,1.31103,false,2.385606273598312,2.8785217955012063,3.228913405994688,3.722880610686939,1.3,5.28793826497814
ObjectId("5d34a67a6b361d34247c1e58"),73,4,7,58,230,8,33,0,Fear,Fear+Joy,11726,1.02932,true,0.9542425094393249,1.5314789170422551,1.7708520116421442,2.3636119798921444,1,4.06918692515191
ObjectId("5d34a67a6b361d34247c1e59"),76,9,8,26698,118591,3337,14824,0,Joy,Joy+Surprise,2777455,1.82529,true,3.5234863323432277,4.1709947020363005,4.426494995349033,5.0740553933027845,1.8,6.4436471876458254
ObjectId("5d34a67a6b361d34247c1e5a"),77,12,8,174,1048,22,131,0,Surprise,Surprise+Joy,1545,0.88354,false,1.3617278360175928,2.12057393120585,2.2430380486862944,3.020775488193558,0.9,3.189209489582306
ObjectId("5d34a67a6b361d34247c1e5b"),83,10,8,1185,5110,148,639,0,Joy,Joy+Fear,12396,0.8396,false,2.173186268412274,2.806179973983887,3.074084689028244,3.708505880955237,0.8,4.093316601204331
ObjectId("5d34a67a6b361d34247c1e5c"),86,3,8,21340,39383,2668,4923,1,Joy,Joy+Fear,22749,0.91411,true,3.4263485737875077,3.6923180442592787,4.329214765805725,4.595319822764699,0.9,4.356981400993131
ObjectId("5d34a67a6b361d34247c1e5d"),89,4,8,29572,94052,3696,11756,1,Joy,Joy+Anger,271068,1.48879,true,3.5678494505731067,4.070296518197765,4.470895383280216,4.973372652758981,1.5,5.433079853623477
ObjectId("5d34a67a6b361d34247c1e5e"),92,13,8,1210,3499,151,437,0,Fear,Fear+Disgust,44233,1.86475,false,2.1818435879447726,2.6414741105040997,3.0831441431430524,3.5440680443502757,1.9,4.645756213603842
ObjectId("5d34a67a6b361d34247c1e5f"),97,9,9,385,990,43,110,0,Joy,Joy+Fear,51265,1.04661,false,1.6434526764861874,2.0453229787866576,2.586587304671755,2.9960736544852753,1,4.709829433186508
ObjectId("5d34a67a6b361d34247c1e60"),98,4,9,833,4640,93,516,0,Joy,Joy+Surprise,461907,1.49786,true,1.9731278535996986,2.7134905430939424,2.921166050637739,3.66661156841903,1.5,5.66455548406029
ObjectId("5d34a67a6b361d34247c1e61"),101,4,9,93,241,10,27,0,Fear,Fear+Joy,1579,0.80668,false,1.0413926851582251,1.4471580313422192,1.9731278535996986,2.383815365980431,0.8,3.1986570869544226
ObjectId("5d34a67a6b361d34247c1e62"),102,4,9,296,1452,33,161,2,Fear,Fear+Joy,2919,0.74127,false,1.5314789170422551,2.2095150145426308,2.4727564493172123,3.1622656142980214,0.7,3.4653828514484184
ObjectId("5d34a67a6b361d34247c1e63"),111,5,9,61,194,7,22,1,Fear,Fear+Joy,6354,1.10526,false,0.9030899869919435,1.3617278360175928,1.792391689498254,2.290034611362518,1.1,3.803115554890027
ObjectId("5d34a67a6b361d34247c1e64"),112,3,9,7999,14214,889,1579,0,Joy,Joy+Fear,18540,1.42688,false,2.949390006644913,3.1986570869544226,3.9030899869919438,4.152746864026461,1.4,4.268133153906103
ObjectId("5d34a67a6b361d34247c1e65"),120,4,9,5770,12967,641,1441,0,Joy,Joy+Fear,70609,1.20683,true,2.807535028068853,3.15896526038341,3.761251074308663,4.112873001840459,1.2,4.848866211494779
ObjectId("5d34a67a6b361d34247c1e66"),121,0,9,146,1415,16,157,1,Joy,Joy+Fear,23229,1.25513,false,1.2304489213782739,2.1986570869544226,2.167317334748176,3.15106325335375,1.3,4.366049209800235
ObjectId("5d34a67a6b361d34247c1e67"),122,12,10,197,525,20,52,0,Joy,Joy+Fear,682,0.80005,false,1.3222192947339193,1.724275869600789,2.296665190261531,2.7209857441537393,0.8,2.8344207036815328
ObjectId("5d34a67a6b361d34247c1e68"),123,5,10,318,417,32,42,0,Joy,Joy+Fear,22831,0.98163,false,1.5185139398778875,1.6334684555795864,2.503790683057181,2.621176281775035,1,4.358543955770572
ObjectId("5d34a67a6b361d34247c1e69"),126,4,10,395,1717,40,172,0,Joy,Joy+Sadness,5754,0.86429,false,1.6127838567197355,2.2380461031287955,2.597695185925512,3.2350231594952237,0.9,3.760045327965811
ObjectId("5d34a67a6b361d34247c1e6a"),127,7,10,13635,52458,1364,5246,0,Disgust,Disgust+Joy,63504,1.20577,true,3.1351326513767748,3.719911064198339,4.134686992556854,4.719820007592092,1.2,4.802807920361628
ObjectId("5d34a67a6b361d34247c1e6b"),130,9,10,125,428,12,43,3,Fear,Fear+Sadness,58433,1.36473,false,1.1139433523068367,1.6434526764861874,2.100370545117563,2.6324572921847245,1.4,4.76666561621731
ObjectId("5d34a67a6b361d34247c1e6c"),135,9,10,31638,75299,3164,7530,0,Fear,Fear+Surprise,9639982,1.54606,true,3.500373714353374,3.8768526476013436,4.500222748487298,4.876794976200701,1.5,6.984076268030144
ObjectId("5d34a67a6b361d34247c1e6d"),141,2,11,47395,143072,4309,13007,0,Anger,Anger+Joy,77630,1.16824,true,3.6344772701607315,4.114210528249993,4.675741690804246,5.155557683673317,1.2,4.89003518054297
ObjectId("5d34a67a6b361d34247c1e6e"),142,4,11,88155,395028,8014,35912,0,Anger,Anger+Joy,24529,1.05525,true,3.9039035266901636,4.555251685522227,4.94525187622937,5.596628979367388,1.1,4.389697548206386
ObjectId("5d34a67a6b361d34247c1e6f"),145,4,11,3572,13595,325,1236,0,Joy,Joy+Fear,129526,1.15359,true,2.513217600067939,3.0923696996291206,3.55303301620244,4.1334111559110225,1.2,5.1123603068634855
ObjectId("5d34a67a6b361d34247c1e70"),152,1,11,2001,8669,182,788,0,Joy,Joy+Anger,14132,1.04956,true,2.2624510897304293,2.89707700320942,3.3014640731433,3.9380190974762104,1,4.1502343589578965
ObjectId("5d34a67a6b361d34247c1e71"),154,11,11,10757,22748,978,2068,0,Joy,Joy+Sadness,31316,0.94618,false,2.9907826918031377,3.3157604906657347,4.0317315399458264,4.356962310706225,0.9,4.49578015230518
ObjectId("5d34a67a6b361d34247c1e72"),156,2,11,4166,6435,379,585,0,Anger,Anger+Surprise,1031,0.76908,false,2.57978359661681,2.767897616018091,3.619823500457278,3.808616035426992,0.8,3.0136796972911926
ObjectId("5d34a67a6b361d34247c1e73"),157,4,11,56,1509,5,137,4,Joy,Joy+Sadness,288,0.63758,false,0.7781512503836436,2.1398790864012365,1.7558748556724915,3.1789769472931693,0.6,2.4608978427565478
ObjectId("5d34a67a6b361d34247c1e74"),159,0,11,188,1588,17,144,1,Joy,Joy+Surprise,23229,1.25513,false,1.255272505103306,2.161368002234975,2.2764618041732443,3.2011238972073794,1.3,4.366049209800235
ObjectId("5d34a67a6b361d34247c1e75"),168,4,12,14001,35724,1167,2977,0,Joy,Joy+Surprise,84644,1.20034,false,3.0674428427763805,3.473924693416157,4.146190073315927,4.552972237463008,1.2,4.9276013093257225
ObjectId("5d34a67a6b361d34247c1e76"),170,1,12,956,3532,80,294,0,Joy,Joy+Fear,4077,0.8902,false,1.9084850188786497,2.469822015978163,2.9809119377768436,3.5481436374348454,0.9,3.6104472214421213
ObjectId("5d34a67a6b361d34247c1e77"),173,4,12,6693,15836,558,1320,0,Fear,Fear+Joy,132590,1.06386,false,2.747411807886423,3.1209028176145273,3.825685708021758,4.199672916720621,1.1,5.122514046067324
ObjectId("5d34a67a6b361d34247c1e78"),176,4,12,990,4841,82,403,0,Joy,Joy+Fear,15505,0.95857,false,1.919078092376074,2.606381365110605,2.9960736544852753,3.685024785105714,1,4.190499779633488
ObjectId("5d34a67a6b361d34247c1e79"),186,11,13,22157,79276,1704,6098,0,Joy,Joy+Fear,756238,1.50679,true,3.2317243833285163,3.785258633357701,4.345530558034622,4.899147207217667,1.5,5.878659070603937
ObjectId("5d34a67a6b361d34247c1e7a"),193,8,13,1632,8862,126,682,0,Joy,Joy+Fear,1257,0.87773,false,2.103803720955957,2.8344207036815328,3.212986184736668,3.9475807493043225,0.9,3.09968064110925
ObjectId("5d34a67a6b361d34247c1e7b"),197,9,13,240786,952814,18522,73293,0,Joy,Joy+Anger,336166,1.16086,true,4.267711326726692,4.865068423842421,5.381633035822207,5.979008585550655,1.2,5.526555078463001
ObjectId("5d34a67a6b361d34247c1e7c"),198,12,13,0,0,0,0,0,Joy,Joy+Fear,0,0,false,0,0,0,0,0,0
ObjectId("5d34a67a6b361d34247c1e7d"),200,4,14,35,100,2,7,0,Joy,Joy+Fear,45755,0.96577,true,0.47712125471966244,0.9030899869919435,1.5563025007672873,2.0043213737826426,1,4.660448051321295
ObjectId("5d34a67a6b361d34247c1e7e"),201,7,14,151,459,11,33,1,Joy,Joy+Anger,10751,0.91844,false,1.0791812460476249,1.5314789170422551,2.1818435879447726,2.662757831681574,0.9,4.03148925570975
ObjectId("5d34a67a6b361d34247c1e7f"),202,11,14,1549,4618,111,330,1,Fear,Fear+Anger,72425,1.13011,false,2.0492180226701815,2.519827993775719,3.1903316981702914,3.6645479622465467,1.1,4.859894500306365
ObjectId("5d34a67a6b361d34247c1e80"),210,12,14,18539,34069,1324,2434,0,Joy,Joy+Surprise,645393,1.24674,true,3.1222158782728267,3.386498965550653,4.2681097298084785,4.532372133567877,1.2,5.809824923604292
ObjectId("5d34a67a6b361d34247c1e81"),214,7,14,6533,26756,467,1911,1,Joy,Joy+Surprise,80833,0.93907,true,2.670245853074124,3.2814878879400813,3.8151791301394185,4.427437418644263,0.9,4.90759407001401
ObjectId("5d34a67a6b361d34247c1e82"),217,1,14,443,1918,32,137,0,Fear,Fear+Joy,9168,0.81963,false,1.5185139398778875,2.1398790864012365,2.6473829701146196,3.2830749747354715,0.8,3.9623219727295846
ObjectId("5d34a67a6b361d34247c1e83"),221,11,15,24855,82796,1657,5520,1,Anger,Anger+Fear,458000,1.31484,true,3.2195845262142546,3.7420177471401384,4.395431240246918,4.918014601192498,1.3,5.660866426244061
ObjectId("5d34a67a6b361d34247c1e84"),224,8,15,122,280,8,19,0,Joy,Joy+Fear,2462,0.79096,false,0.9542425094393249,1.3010299956639813,2.089905111439398,2.44870631990508,0.8,3.3914644118391033
ObjectId("5d34a67a6b361d34247c1e85"),228,9,15,4969,9563,331,638,0,Joy,Joy+Fear,78135,1.63095,false,2.5211380837040362,2.8055008581584002,3.696356388733332,3.9806395674437374,1.6,4.892851174710722
ObjectId("5d34a67a6b361d34247c1e86"),230,2,15,7555,49933,504,3329,0,Sadness,Sadness+Disgust,2614,0.87166,false,2.7032913781186614,3.5224442335063197,3.878291949249796,4.698396356929269,0.9,3.417471693203293
ObjectId("5d34a67a6b361d34247c1e87"),239,12,16,1835,6526,115,408,1,Joy,Joy+Sadness,3660,0.7633,false,2.0644579892269186,2.611723308007342,3.2638726768652235,3.814713612695977,0.8,3.563599728881531
ObjectId("5d34a67a6b361d34247c1e88"),246,5,16,4550,9238,284,577,0,Joy,Joy+Fear,51265,1.04661,false,2.45484486000851,2.761927838420529,3.658106835506393,3.965624967109243,1,4.709829433186508
ObjectId("5d34a67a6b361d34247c1e89"),255,7,17,2781,4806,164,283,36,Joy,Joy+Fear,1016,0.84309,false,2.2174839442139063,2.4533183400470375,3.4443571256560275,3.681874122128647,0.8,3.0073209529227447
ObjectId("5d34a67a6b361d34247c1e8a"),260,4,17,308,627,18,37,3,Joy,Joy+Fear,35489,1.33976,false,1.2787536009528289,1.5797835966168101,2.4899584794248346,2.797959643737196,1.3,4.5501059993475925
ObjectId("5d34a67a6b361d34247c1e8b"),263,4,17,4804,16870,283,992,0,Fear,Fear+Anger,73393,0.96141,true,2.4533183400470375,2.996949248495381,3.681693392004564,4.227140825423186,1,4.8656605575536735
ObjectId("5d34a67a6b361d34247c1e8c"),270,4,18,3954,15108,220,839,0,Surprise,Surprise+Fear,2500,0.94338,false,2.3443922736851106,2.9242792860618816,3.597146487833695,4.179235721198481,0.9,3.3981136917305026
ObjectId("5d34a67a6b361d34247c1e8d"),272,5,19,4519,6939,238,365,0,Joy,Joy+Fear,51265,1.04661,false,2.3783979009481375,2.5634810853944106,3.655138434811382,3.841359470454855,1,4.709829433186508
ObjectId("5d34a67a6b361d34247c1e8e"),273,13,19,876,3001,46,158,0,Surprise,Surprise+Joy,9289,1.21805,false,1.6720978579357175,2.2013971243204513,2.9429995933660407,3.4774106879072515,1.2,3.968015713993642
ObjectId("5d34a67a6b361d34247c1e8f"),275,1,19,54,234,3,12,0,Joy,Joy+Fear,37110,0.98445,false,0.6020599913279624,1.1139433523068367,1.7403626894942439,2.3710678622717363,1,4.569502657087413
ObjectId("5d34a67a6b361d34247c1e90"),277,4,19,2468,12310,130,648,0,Joy,Joy+Fear,7113,1.18423,false,2.1172712956557644,2.812244696800369,3.3925210899319325,4.09029333131011,1.2,3.8521138608497614
ObjectId("5d34a67a6b361d34247c1e91"),280,4,19,11224,26070,591,1372,1,Joy,Joy+Fear,7380,0.81472,false,2.77232170672292,3.137670537236755,4.050186349675361,4.416157689632185,0.8,3.868115205327217
ObjectId("5d34a67a6b361d34247c1e92"),286,1,20,1935,8190,97,410,0,Joy,Joy+Anger,6767,0.90308,false,1.9912260756924949,2.6138418218760693,3.286905352972375,3.913336925932623,0.9,3.8304603500309673
ObjectId("5d34a67a6b361d34247c1e93"),292,1,21,2319,2883,110,137,0,Fear,Fear+Surprise,5525,0.8049,false,2.0453229787866576,2.1398790864012365,3.3654879848909,3.4599952560473914,0.8,3.7424108805804925
ObjectId("5d34a67a6b361d34247c1e94"),298,4,21,3857,8601,184,410,0,Joy,Joy+Surprise,51265,1.04661,false,2.2671717284030137,2.6138418218760693,3.586362223307866,3.934599438218073,1,4.709829433186508
ObjectId("5d34a67a6b361d34247c1e95"),303,12,21,1783,3273,85,156,0,Joy,Joy+Anger,5489,1.05297,false,1.9344984512435677,2.1958996524092336,3.2513948500401044,3.5150786750759226,1.1,3.739572344450092
ObjectId("5d34a67a6b361d34247c1e96"),306,6,22,211,451,10,20,0,Joy,Joy+Fear,12396,0.8396,false,1.0413926851582251,1.3222192947339193,2.326335860928751,2.655138434811382,0.8,4.093316601204331
ObjectId("5d34a67a6b361d34247c1e97"),309,4,22,46127,307794,2097,13991,0,Fear,Fear+Joy,13334,1.03525,false,3.3218054838575393,4.14587979647062,4.663964625044133,5.488261560622013,1,4.124993020025895
ObjectId("5d34a67a6b361d34247c1e98"),310,4,22,79,530,4,24,4,Joy,Joy+Fear,52277,1.20736,true,0.6989700043360189,1.3979400086720377,1.9030899869919435,2.725094521081469,1.2,4.718318964417718
ObjectId("5d34a67a6b361d34247c1e99"),313,9,22,9928,40662,451,1848,1,Joy,Joy+Fear,203698,1.32496,true,2.655138434811382,3.266936911159173,3.996905510695666,4.609199416490486,1.3,5.308988896965074
ObjectId("5d34a67a6b361d34247c1e9a"),315,13,23,459,628,20,27,3,Fear,Fear+Joy,35489,1.33976,false,1.3222192947339193,1.4471580313422192,2.662757831681574,2.798650645445269,1.3,4.5501059993475925
ObjectId("5d34a67a6b361d34247c1e9b"),317,8,23,610,895,27,39,3,Anger,Anger+Sadness,31234,0.81471,false,1.4471580313422192,1.6020599913279623,2.786041210242554,2.9523080096621253,0.8,4.49464151028204
ObjectId("5d34a67a6b361d34247c1e9c"),319,10,23,1591,3550,69,154,1,Joy,Joy+Anger,29156,0.88945,false,1.845098040014257,2.1903316981702914,3.20194306340165,3.5503506723016156,0.9,4.464742836845146
ObjectId("5d34a67a6b361d34247c1e9d"),321,9,23,102676,153219,4464,6662,4,Joy,Joy+Anger,434699,1.41566,true,3.649821463224565,3.8236698132681366,5.011473171038759,5.1853154580036565,1.4,5.638189640190837
ObjectId("5d34a67a6b361d34247c1e9e"),324,4,24,2291,8221,95,343,0,Joy,Joy+Fear,132590,1.06386,false,1.9822712330395684,2.53655844257153,3.3602146132953523,3.914977472444331,1.1,5.122514046067324
ObjectId("5d34a67a6b361d34247c1e9f"),331,4,25,6276,43273,251,1731,0,Fear,Fear+Anger,194060,1.31103,false,2.401400540781544,3.2385478876813276,3.7977521286507105,4.636227040741543,1.3,5.28793826497814
ObjectId("5d34a67a6b361d34247c1ea0"),332,4,25,2,131,0,5,1,Joy,Joy+Fear,559,0.87525,false,0,0.7781512503836436,0.47712125471966244,2.12057393120585,0.9,2.7481880270062002
ObjectId("5d34a67a6b361d34247c1ea1"),336,4,25,27979,228020,1119,9121,0,Fear,Fear+Joy,124536,1.33038,true,3.0492180226701815,3.9600900679049196,4.446847710155809,5.357974845965968,1.3,5.095298399693248
ObjectId("5d34a67a6b361d34247c1ea2"),337,6,25,341,1139,14,46,0,Joy,Joy+Surprise,2995,0.87645,false,1.1760912590556813,1.6720978579357175,2.534026106056135,3.0569048513364727,0.9,3.4765418090274287
ObjectId("5d34a67a6b361d34247c1ea3"),340,6,25,51,493,2,20,8,Joy,Joy+Fear,3310,0.88331,false,0.47712125471966244,1.3222192947339193,1.7160033436347992,2.693726948923647,0.9,3.5199591807520685
ObjectId("5d34a67a6b361d34247c1ea4"),341,3,25,8254,27677,330,1107,0,Joy,Joy+Fear,187007,0.90634,false,2.519827993775719,3.044539760392411,3.9167170775988125,4.44213470499191,0.9,5.271860185582165
ObjectId("5d34a67a6b361d34247c1ea5"),342,9,25,135887,545596,5435,21824,0,Joy,Joy+Fear,336166,1.16086,true,3.7352794480604565,4.338954252377607,5.1331811067406905,5.736871973659002,1.2,5.526555078463001
ObjectId("5d34a67a6b361d34247c1ea6"),343,8,25,389,3597,16,144,0,Joy,Joy+Surprise,11966,0.96127,false,1.2304489213782739,2.161368002234975,2.591064607026499,3.5560611590095323,1,4.077985291029502
ObjectId("5d34a67a6b361d34247c1ea7"),346,4,26,865,6287,33,242,0,Fear,Fear+Sadness,3499,1.00035,false,1.5314789170422551,2.385606273598312,2.937517892017347,3.7985125330313516,1,3.5440680443502757
ObjectId("5d34a67a6b361d34247c1ea8"),348,0,26,1947,5938,75,228,0,Fear,Fear+Sadness,4086,0.82257,false,1.8808135922807914,2.359835482339888,3.2895889525425965,3.7737133252770216,0.8,3.6114046377115936
ObjectId("5d34a67a6b361d34247c1ea9"),350,13,26,547,608,21,23,2,Joy,Joy+Fear,35489,1.33976,false,1.3424226808222062,1.380211241711606,2.738780558484369,2.784617292632875,1.3,4.5501059993475925
ObjectId("5d34a67a6b361d34247c1eaa"),351,4,26,3486,11057,134,425,0,Joy,Joy+Fear,132590,1.06386,false,2.130333768495006,2.629409599102719,3.5424519473759766,4.043676585602717,1.1,5.122514046067324
ObjectId("5d34a67a6b361d34247c1eab"),353,9,26,3113,5840,120,225,6,Fear,Fear+Joy,35255,1.22232,false,2.0827853703164503,2.3541084391474008,3.4933186082321015,3.766487206239694,1.2,4.547233037501862
ObjectId("5d34a67a6b361d34247c1eac"),354,7,27,844,2117,31,78,0,Joy,Joy+Sadness,12396,0.8396,false,1.505149978319906,1.8976270912904414,2.926856708949692,3.325925955771466,0.8,4.093316601204331
ObjectId("5d34a67a6b361d34247c1ead"),360,5,28,20661,41698,738,1489,0,Joy,Joy+Fear,125031,1.27649,false,2.8686444383948255,3.173186268412274,4.315172357208987,4.620125640113102,1.3,5.09702117816689
ObjectId("5d34a67a6b361d34247c1eae"),365,5,29,2818,4979,97,172,0,Fear,Fear+Disgust,51265,1.04661,false,1.9912260756924949,2.2380461031287955,3.4500950758716025,3.6972293427597176,1,4.709829433186508
ObjectId("5d34a67a6b361d34247c1eaf"),367,1,30,163,1483,5,49,0,Joy,Joy+Fear,8407,0.88689,false,0.7781512503836436,1.6989700043360187,2.214843848047698,3.171433900943008,0.9,3.924692703020186
ObjectId("5d34a67a6b361d34247c1eb0"),373,7,32,1979,3153,62,99,4,Joy,Joy+Fear,63802,0.84982,false,1.7993405494535817,2,3.296665190261531,3.498861688992884,0.8,4.804841099611673
ObjectId("5d34a67a6b361d34247c1eb1"),375,7,33,4114,5935,125,180,0,Joy,Joy+Surprise,59435,1.09865,true,2.100370545117563,2.2576785748691846,3.6143698395482886,3.7734938922709707,1.1,4.774049574030081
ObjectId("5d34a67a6b361d34247c1eb2"),376,7,33,4101,7948,124,241,0,Joy,Joy+Fear,38232,1.30939,false,2.0969100130080562,2.383815365980431,3.6129956560323473,3.9003124969837266,1.3,4.582438376813906
ObjectId("5d34a67a6b361d34247c1eb3"),385,5,38,14899,26196,392,689,2,Surprise,Surprise+Fear,133721,0.99404,false,2.5943925503754266,2.838849090737255,4.173186268412274,4.418251560096693,1,5.126202863452002
ObjectId("5d34a67a6b361d34247c1eb4"),387,6,39,214,1581,5,41,0,Surprise,Surprise+Fear,40252,1.01661,false,0.7781512503836436,1.6232492903979006,2.3324384599156054,3.1992064791616577,1,4.604798253272669
ObjectId("5d34a67a6b361d34247c1eb5"),389,4,40,70517,312186,1763,7805,0,Joy,Joy+Surprise,646121,1.51784,false,3.246498580795801,3.8924285469452298,4.848299986535949,5.494414814338781,1.5,5.810314528713808
ObjectId("5d34a67a6b361d34247c1eb6"),390,4,41,53838,137137,1313,3345,0,Fear,Fear+Sadness,38577,1.17787,false,3.118595365223762,3.5245259366263757,4.731096984750186,5.137157811490028,1.2,4.586339708754249
